geoid,d_rent,d_bike_km,d_income,d_pct_white,d_pct_poverty,d_pop_density,base_rent,base_bike_km,base_income
17031040800,344,1.0893951390899481,28521,-0.03247407625698251,0.011037746352050522,-479.1456977522066,1167,0,76979
17031040900,300,1.5680569831715603,25380,0.16248709839171327,-0.04367718761523648,-117.99063061909783,921,0,54423
17031050100,451,1.4845919982373919,51179,0.10353028158899169,0.026095074841592947,439.66178833566846,1218,0,72750
17031050200,670,3.4787669353695168,74495,0.05674842013707815,-0.004537823960804266,1203.1636834079736,980,0,64051
17031050300,377,0.5084367085637065,65102,-0.20393059132454683,-0.0439212471335161,624.0135774207938,1076,0,98523
17031050500,465,0.8109790379285052,49959,0.01650507476840357,0.007497046417292945,59.763771867957985,1323,0,92589
17031050600,427,1.9154992948259617,26572,2.3169820599389102e-4,-0.07652778959911481,-126.43736513633758,1386,0,82616
17031050700,843,0.4239176792627235,36170,0.002199713805081549,0.05504291103197663,-321.0012663206144,997,0,89268
17031050800,469,0.4047348989375442,54024,-0.21991645717235242,-0.0670859739175596,313.03054656066706,1624,0,118864
17031050900,435,0,41019,-0.17147726994656065,-0.08870424295585752,-878.7759536154736,1166,0,89750
17031051000,756,0.40260437733781457,94875,-0.06303409239042512,-0.011813507068340112,1293.4582964555993,1385,0,85625
17031051100,287,0.8069139537826524,82451,-0.09757027959929443,0.01788321475892684,2151.121410647478,1206,0,76694
17031051200,613,1.048156986989547,75086,-0.09647329706070096,-0.034784614038854564,-571.8160248412623,1473,0,91685
17031051300,588,1.2173724719801533,62903,-0.16397903075340536,-0.040561090374341226,1017.1632799457366,1383,0,155500
17031051400,759,1.8610160014475308,79389,-0.07176379814769462,0.011533589822590534,780.1992765350251,1146,0,74655
17031060100,593,1.808591855948106,39178,-0.004188725390410597,-0.050326999681657845,1866.5804062337384,1157,0,96094
17031060200,357,0.7838513358552458,35042,-0.0031554631811467893,-0.0800815707173017,690.9299070490506,1081,0,54125
17031060300,496,0,35542,-0.19341758321725677,-0.008992566798228331,-881.3649703016581,1334,0,104583
17031060400,574,0,56011,-0.05524650296246225,-0.03692560153386812,-1433.4467536737757,1284,0,106000
17031060500,-305,0.8057061563202864,12208,-0.0850514428100635,0.08246523591351179,556.8571693139766,831,0,42042
17031060800,577,0.3734695622775282,13336,-0.038924468525895484,-0.04142624135178706,2619.6771334601544,1219,0,67820
17031060900,474,0.36618963487759343,29902,0.14828964143071854,0.004927243474930523,1029.2994097082556,1001,0,53699
17031061000,615,0.06551751844576352,37794,-0.10442909943701961,-0.024252388038208617,3277.478701327522,1334,0,90078
17031061100,371,0.44029715929328295,22821,-0.17026247653172666,-0.06851876848318261,1739.58113812613,1535,0,85337
17031061200,246,0.49164680443666586,12812,-0.0958256073788808,-0.06348357343222556,-927.8529666047052,1710,0,96667
17031061500,443,0.40550118208575864,38000,-0.05469667390411115,0.022031448469186636,778.7872489189594,1504,0,95000
17031061800,529,0.20605002657067656,18000,-0.1717944562527659,-0.009144115218787274,1671.2134725369506,1045,0,51250
17031061901,489,0.5427282861629804,7730,-0.028714642694553705,0.07649792484966247,-1564.9476512841975,942,0,53833
17031061902,841,0.27459168256360356,36459,-0.06789378676348234,-0.04907942657287033,1966.0523181787485,977,0,50346
17031062000,694,1.372915425862092,31346,-0.08683162499183916,-0.031209766925638184,1070.8552582033735,1168,0,78904
17031062100,307,1.3841323610492335,20462,-0.03238590363840643,-0.12112261759835657,1762.7452600804863,1526,0,78750
17031062200,691,0.9564714593745635,88462,-0.051795074709558686,-0.006868368954929177,866.0530902828377,1541,0,109871
17031062300,608,1.2097314654541769,122312,-0.0936111054196822,-0.07127983541905232,-177.5035807160166,1696,0,105438
17031062400,473,0.803684610662018,52891,-0.025271507199192245,-2.4141443187700173e-5,-122.77053113216789,1621,0,109609
17031062500,484,1.249061876122159,36736,-0.0686870285382708,0.06518963971092473,527.7701671837804,1395,0,109167
17031062600,847,0.3963249839900699,92232,-0.017013700961004186,-0.056690735514795185,124.26528046654676,1278,0,103125
17031062700,679,1.0012477356743021,48960,-0.05082666160769389,-0.05811280997298755,1172.0241299948102,1247,0,102120
17031062800,586,1.7568057248343685,64376,0.029473972745664434,-0.0683720113045247,371.75783441365274,1650,0,102162
17031062900,184,0.40337076496740226,49921,-0.20217448990229248,-0.11886123871169217,-448.12415287357,1690,0,109167
17031063000,820,0.7683778645515174,35458,-0.07835922954720265,-0.12158751702684348,-348.4750482397194,1129,0,68594
17031063100,550,0.4937399018028855,37697,0.04488052543193011,-0.07690054227894008,-237.52465898204719,1169,0,61786
17031063200,629,0,26662,0.015033877936647788,-0.10723044408158929,79.98295613382106,1061,0,54358
17031063301,524,0,21983,-0.09436543611735426,0.0026420427635261423,5390.25591200688,973,0,44464
17031063302,555,0,26371,-0.041251226873982416,-0.029364520650310054,2214.314553574055,1155,0,67802
17031063303,716,0,29423,-0.17552129365936686,0.030876743125065276,-109.2567624088233,1504,0,73077
17031063400,824,0.8757829244115471,29635,-0.032279937140749615,-0.14631367695967518,3086.937457227101,1156,0,66198
17031070101,661,1.0416598355216635,27194,-0.09139680601091404,-0.04284641663292943,881.4623324682834,1058,0,66329
17031070102,657,0.2386661282793922,29074,0.06300998639267508,-0.050230308170538536,5316.422990807285,893,0,63567
17031070103,474,0.16369215668131817,27253,-0.07472794545761885,0.020142741768871042,-5909.399680351449,1134,0,50872
17031070200,636,1.1871247395739422,23860,-0.047207022704230606,-0.025356690844681472,-306.98795457018605,1197,0,84223
17031070300,1154,0.5702638769947348,99141,0.10080958831178288,-0.05517035470782003,1586.6147845920095,1563,0,91910
17031070400,524,0.5706997266612013,161995,-0.029881803231500137,-0.025720884255529958,450.2451656443409,1006,0,81800
17031070500,389,0.5979569983717069,77799,0.004151312256114981,-0.04573040999259422,484.4515730890853,1634,0,108958
17031070600,161,0.2095456275746205,115983,-0.08126101328114144,0.022558433034400777,842.2554089325313,2001,0,134018
17031070700,804,1.5797852735140454,53929,-0.10374440805987428,-0.05801325834977844,889.5652431243652,986,0,106071
17031071000,1173,0.803959359902975,108143,0.0743518701218977,-0.15576942742863562,1518.9396463853445,1551,0,93972
17031071100,1183,0.8061662956615455,103054,-0.059308301946013775,-0.13530066562784127,940.2022020255772,1690,0,103250
17031071200,513,1.5734319779590051,45260,-0.02992904677121,-0.05035278289205769,1018.6753473748495,1554,0,80321
17031071300,638,0.974291798228162,27909,-0.12494660946947089,0.04335352253830696,1702.3506750314227,1172,0,90969
17031071400,641,0.520909020745763,45388,0.012549058586356687,0.06556458872612192,261.5989395414681,1179,0,72907
17031071500,686,1.140190345116951,30465,0.015643202365056674,-0.030586247514154417,510.20420318147444,1393,0,85528
17031071600,377,0.40296290362163545,99213,-0.06422724416515779,-0.0018416169624290296,333.7847587401375,1672,0,131100
17031071700,804,0,22889,-5.658829188240899e-4,-0.006134170840053188,-1870.1455131313724,1565,0,126736
17031071800,1701,1.208447004388966,95454,0.01151965254361731,-0.023003471733150933,256.67520204431366,948,0,116510
17031080100,608,0,33340,-0.032007516024967875,-0.008141353332218645,1897.3327532817057,1393,0,81341
17031080201,763,0.7416650716290656,37981,0.007807270545543865,-0.04308799398578853,-1360.1724744822677,1303,0,74727
17031080202,451,0.873908133261326,16812,0.053289551403612356,0.05455937526088858,2661.2239965722474,1326,0,87136
17031080300,965,0.8118411171744028,64368,-0.08022759371613242,-0.03224936796262741,4187.222268334892,1446,0,92744
17031081000,661,1.9846649442048565,30127,-0.055116424986056844,-0.0553807865218334,1358.9788383647829,1050,0,49429
17031081100,726,0.8122205710193185,27168,-0.06727593394260056,-0.039025172358505694,9598.209544988444,1206,0,54871
17031081201,1020,0,59163,0.01926396315807788,-0.07464210718086892,1767.8643751586133,1380,0,69792
17031081202,454,0,96167,-0.03038840548704691,-0.035664746488148436,1899.067197753291,1434,0,81452
17031081300,489,0,29028,-0.09900015004496676,0.01895530223238319,5319.396215298086,1237,0,87396
17031081401,688,0,-2267,-0.006603586066475597,0.0015184887598023167,-1240.7621182568164,1409,0,76699
17031081402,1414,0.6028965673084709,57386,-0.2576941072389781,0.03334969883975708,3738.7285191011924,1515,0,101640
17031081403,727,1.090454394483826,25529,-0.1108837833842784,0.07179513586618581,6775.47897953248,1659,0,88523
17031081500,912,0.6359796954533921,57688,-0.21201614405812075,-0.010519007718544193,2807.834760304875,1750,0,93938
