geoid,name,year,median_rent,median_income,total_population,total_housing_units,pct_white_nonhisp,pct_poverty,total_bike_length_m,bike_length_km,tract_area_km2,pop_density
17031824601,"Census Tract 8246.01, Cook County, Illinois",2016,1048,74731,4786,1824,0.7657751776013373,0.05808608441287087,0,0,3.4081190984500642,1404.2936475361337
17031824601,Census Tract 8246.01; Cook County; Illinois,2022,1517,88598,4207,1685,0.7492274780128357,0.0360381861575179,0,0,3.4081190984500642,1234.4052183837264
17031824602,"Census Tract 8246.02, Cook County, Illinois",2012,963,64583,6552,2523,0.7367216117216118,0.10927960927960928,0,0,3.607818398578248,1816.0559308034963
17031824602,"Census Tract 8246.02, Cook County, Illinois",2016,946,60450,6505,2673,0.8358186010760953,0.09807840122982321,0,0,3.607818398578248,1803.0286675636055
17031824602,Census Tract 8246.02; Cook County; Illinois,2022,1291,86560,6591,2548,0.6624184494006979,0.027461690183583673,0,0,3.607818398578248,1826.8657875344695
17031824701,"Census Tract 8247.01, Cook County, Illinois",2012,840,60256,3585,1420,0.6184100418410042,0.051324965132496514,0,0,1.7420135149300158,2057.9633678353093
17031824701,"Census Tract 8247.01, Cook County, Illinois",2016,903,64849,4199,1564,0.6163372231483687,0.05501309835675161,0,0,1.7420135149300158,2410.429060401803
17031824701,Census Tract 8247.01; Cook County; Illinois,2022,1216,51458,3532,1545,0.5076443941109853,0.10958512160228899,0,0,1.7420135149300158,2027.538804796182
17031824702,"Census Tract 8247.02, Cook County, Illinois",2012,877,55988,5934,2043,0.4907313784967981,0.26882453151618396,0,0,2.1984042826554155,2699.2305495477026
17031824702,"Census Tract 8247.02, Cook County, Illinois",2016,1106,56667,5920,2245,0.5525337837837838,0.16788830715532285,0,0,2.1984042826554155,2692.862294122413
17031824702,Census Tract 8247.02; Cook County; Illinois,2022,965,59918,5530,2426,0.3406871609403255,0.16614420062695925,0,0,2.1984042826554155,2515.460892989349
17031824800,"Census Tract 8248, Cook County, Illinois",2012,877,43030,7218,2599,0.22693266832917705,0.19014379449951138,0,0,4.641196340483598,1555.2024673121043
17031824800,"Census Tract 8248, Cook County, Illinois",2016,1108,37374,7987,2405,0.24414673844998122,0.3163136661623802,0,0,4.641196340483598,1720.8925057386778
17031824800,Census Tract 8248; Cook County; Illinois,2022,1109,58312,7133,2231,0.11215477358755083,0.047625737566732225,0,0,4.641196340483598,1536.8882237929122
17031824900,"Census Tract 8249, Cook County, Illinois",2012,1367,63864,3394,1165,0.22274602239245728,0.1187389510901591,0,0,5.541851231378394,612.4307308689391
17031824900,"Census Tract 8249, Cook County, Illinois",2016,1025,32196,3128,1274,0.16144501278772377,0.2484015345268542,0,0,5.541851231378394,564.432329451397
17031824900,Census Tract 8249; Cook County; Illinois,2022,1315,46458,2952,1154,0.29471544715447157,0.16631578947368422,0,0,5.541851231378394,532.6739886638504
17031825000,"Census Tract 8250, Cook County, Illinois",2012,779,63726,5012,2012,0.6159217877094972,0.1008639742816958,0,0,5.98799469761875,837.0080892010685
